Visit#,Date,Season,Realms,Spirit,Last Visit
37th,"June 10, 2021",Sanctuary,Daylight Prairie,Timid Bookworm,1st Visit
36th,"May 27, 2021",Enchantment,Forgotten Ark,Snoozing Carpenter,1st Visit
35th,"May 13, 2021",Rhythm,Vault of Knowledge,Thoughtful Director,1st Visit
34th,"April 29, 2021",Sanctuary,Daylight Prairie,Rallying Thrillseeker,1st Visit
33rd,"April 15, 2021",Lightseekers,Daylight Prairie,Doublefive Light Catcher(R),2nd Visit(31 ago)
32nd,"April 1, 2021",Belonging,Valley of Triumph,Sparkler Parent(R),2nd Visit(23 ago)
31st,"March 18, 2021",Gratitude,Valley of Triumph,Leaping Dancer(R),2nd Visit(19 ago)
30th,"March 4, 2021",Lightseekers,Isle of Dawn,Piggyback Lightseeker(R),2nd Visit(23 ago)
29th,"February 18, 2021",Enchantment,Forgotten Ark,Crab Walker*,1st Visit*
28th,"February 4, 2021",Rhythm,Golden Wasteland,Respectful Pianist,1st Visit
Error*,"February 4, 2021",Enchantment,Forgotten Ark,Crab Walker*,Error Spirit*
27th,"January 21, 2021",Belonging,Daylight Prairie,Confetti Cousin (R),2nd Visit(14 ago)
26th,"January 7, 2021",Enchantment,Forgotten Ark,Nodding Muralist,1st Visit
25th,"December 24, 2020",Rhythm,Isle of Dawn,Troupe Greeter,1st Visit
24th,"December 10, 2020",Belonging,Golden Wasteland,Pleaful Parent(R),2nd Visit(19 ago)
23rd,"November 26, 2020",Lightseekers,Hidden Forest,Laidback Pioneer(R),2nd Visit(20 ago)
22nd,"November 12, 2020",Belonging,Isle of Dawn,Boogie Kid,1st Visit
21st,"October 29, 2020",Enchantment,Forgotten Ark,Indifferent Alchemist,1st Visit
20th,"October 15, 2020",Rhythm,Hidden Forest,Admiring Actor,1st Visit
19th,"October 1, 2020",Gratitude,Hidden Forest,Provoking Performer(R),2nd Visit(15 ago)
18th,"September 17, 2020",Lightseekers,Valley of Triumph,Twirling Champion,1st Visit
17th,"September 3, 2020",Rhythm,Daylight Prairie,Festival Spin Dancer,1st Visit
16th,"August 20, 2020",Lightseekers,Vault of Knowledge,Shushing Light Scholar,1st Visit
15th,"August 6, 2020",Belonging,Vault of Knowledge,Wise Grandparent,1st Visit
14th,"July 23, 2020",Gratitude,Vault of Knowledge,Greeting Shaman,1st Visit
13th,"July 9, 2020",Belonging,Daylight Prairie,Confetti Cousin,1st Visit
12th,"June 25, 2020",Gratitude,Valley of Triumph,Leaping Dancer,1st Visit
11th,"June 11, 2020",Belonging,Hidden Forest,Hairtousle Teen,1st Visit
10th,"May 28, 2020",Gratitude,Isle of Dawn,Sassy Drifter(R),2nd Visit(9 ago)
Error*,"May 28, 2020",Gratitude,Golden Wasteland,Saluting Protector*,Error Spirit*
9th,"May 14, 2020",Belonging,Valley of Triumph,Sparkler Parent,1st Visit
8th,"April 30, 2020",Gratitude,Daylight Prairie,Stretching Guru,1st Visit
7th,"April 16, 2020",Lightseekers,Isle of Dawn,Piggyback Lightseeker,1st Visit
6th,"April 9, 2020",Lightseekers,Golden Wasteland,Crab Whisperer,1st Visit
5th,"March 26, 2020",Belonging,Golden Wasteland,Pleaful Parent,1st Visit
4th,"March 12, 2020",Gratitude,Hidden Forest,Provoking Performer,1st Visit
3rd,"February 27, 2020",Lightseekers,Hidden Forest,Laidback Pioneer,1st Visit
2nd,"February 14, 2020",Lightseekers,Daylight Prairie,Doublefive Light Catcher,1st Visit
1st,"January 31, 2020",Gratitude,Isle of Dawn,Sassy Drifter,1st Visit
